event_date,event_location,fighter_1,fighter_2,result,method_main,method_detail,round,time,fighter_1_kd,fighter_1_str,fighter_1_td,fighter_1_sub,fighter_2_kd,fighter_2_str,fighter_2_td,fighter_2_sub,weight_class,fighter_1_record,fighter_1_height,fighter_1_weight,fighter_1_reach,fighter_1_stance,fighter_1_dob,fighter_1_slpm,fighter_1_str_acc,fighter_1_sapm,fighter_1_str_def,fighter_1_td_avg,fighter_1_td_acc,fighter_1_td_def,fighter_1_sub_avg,fighter_2_record,fighter_2_height,fighter_2_weight,fighter_2_reach,fighter_2_stance,fighter_2_dob,fighter_2_slpm,fighter_2_str_acc,fighter_2_sapm,fighter_2_str_def,fighter_2_td_avg,fighter_2_td_acc,fighter_2_td_def,fighter_2_sub_avg,fighter_1_born,fighter_1_gym,fighter_2_born,fighter_2_gym,fighter_1_ufcwins,fighter_1_ufcloss,fighter_2_ufcwins,fighter_2_ufcloss,fighter_1_active,fighter_2_active,fighter_1_wins,fighter_2_wins,fighter_1_age_at_fight,fighter_1_age_gap,fighter_1_current_age,fighter_1_draws,fighter_1_ig,fighter_1_losses,fighter_1_open_odds,fighter_1_reachheightadv,fighter_2_age_at_fight,fighter_2_current_age,fighter_2_draws,fighter_2_ig,fighter_2_losses,fighter_2_open_odds
5/7/1999,"Birmingham, Alabama, USA",Marcelo Mello,David Roberts,win,KO/TKO,Elbows,1,1:23,0,7,1,0,0,0,0,0,Lightweight,,"5' 7""",170 lbs.,--,Southpaw,--,0,0%,0,0%,0,0%,0%,0,,"6' 1""",170 lbs.,--,Orthodox,11/15/1975,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,FALSE,FALSE,1,5,Unknown,,Unknown,0,#N/A,0,,,23,49,0,#N/A,8,
5/7/1999,"Birmingham, Alabama, USA",Laverne Clark,Fabiano Iha,win,KO/TKO,,1,1:21,1,6,0,0,0,0,0,2,Lightweight,,"5' 11""",170 lbs.,--,Orthodox,12/2/1973,0,0%,0,0%,0,0%,0%,0,,"5' 8""",155 lbs.,--,Orthodox,7/28/1970,1.73,47%,2.49,42%,2.88,40%,50%,2.9,#N/A,#N/A,#N/A,#N/A,2,0,0,0,FALSE,FALSE,27,9,25,-3,51,1,#N/A,21,,,28,54,0,#N/A,5,
5/7/1999,"Birmingham, Alabama, USA",Ron Waterman,Chris Condo,win,KO/TKO,Punches,1,0:28,0,6,1,0,0,0,0,0,Heavyweight,,"6' 2""",280 lbs.,--,Orthodox,11/23/1965,0.84,50%,1.37,42%,4.19,69%,50%,2.8,,"6' 0""",335 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,FALSE,FALSE,16,0,33,,59,2,#N/A,6,,,Unknown,Unknown,0,#N/A,1,
3/5/1999,"Bay St. Louis, Mississippi, USA",Tito Ortiz,Guy Mezger,win,KO/TKO,Punches,1,9:56,0,26,2,0,0,2,0,3,Middleweight,,"6' 3""",205 lbs.,"74""",Orthodox,1/23/1975,2.59,46%,2.88,60%,2.47,35%,54%,0.6,,"6' 1""",200 lbs.,--,Orthodox,1/1/1968,2.3,32%,1.36,72%,0.39,50%,88%,0,#N/A,#N/A,#N/A,#N/A,2,1,4,0,FALSE,FALSE,19,30,24,-7,50,1,#N/A,12,,,31,57,2,#N/A,14,
3/5/1999,"Bay St. Louis, Mississippi, USA",Gary Goodridge,Andre Roberts,win,KO/TKO,Punches,1,0:43,0,8,0,0,0,2,0,0,Heavyweight,,"6' 3""",249 lbs.,--,Orthodox,1/17/1966,1.84,56%,2.14,48%,0.4,100%,53%,0.8,,"6' 2""",345 lbs.,--,Orthodox,2/24/1965,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,3,4,1,0,FALSE,FALSE,23,14,33,-1,59,1,#N/A,22,,,34,60,1,#N/A,2,
3/5/1999,"Bay St. Louis, Mississippi, USA",Jeremy Horn,Chuck Liddell,win,SUB,Arm Triangle,1,12:00,0,8,3,3,0,12,0,0,Middleweight,,"6' 1""",185 lbs.,"74""",Orthodox,8/25/1975,1.19,39%,1.99,55%,1.83,38%,29%,1.1,,"6' 2""",205 lbs.,"76""",Orthodox,12/17/1969,2.97,35%,2.71,56%,0.44,75%,81%,0,#N/A,#N/A,#N/A,#N/A,0,2,1,0,FALSE,FALSE,91,21,23,-6,49,5,#N/A,22,,,29,55,0,#N/A,8,
3/5/1999,"Bay St. Louis, Mississippi, USA",Kevin Randleman,Maurice Smith,win,U-DEC,,2,3:00,0,17,4,0,0,9,0,2,Heavyweight,,"5' 10""",205 lbs.,--,Orthodox,8/10/1971,1.26,54%,1.12,57%,2,56%,30%,0.8,,"6' 2""",221 lbs.,--,Orthodox,12/13/1961,0.41,46%,0.47,60%,0.89,50%,20%,0.9,#N/A,#N/A,#N/A,#N/A,0,0,2,1,FALSE,FALSE,17,12,27,-10,53,0,#N/A,16,,,37,63,0,#N/A,14,
3/5/1999,"Bay St. Louis, Mississippi, USA",Evan Tanner,Valeri Ignatov,win,KO/TKO,Elbows,1,2:58,0,23,1,1,0,2,0,0,Middleweight,,"6' 0""",185 lbs.,"74""",Orthodox,2/11/1971,3.05,59%,2.64,56%,2.55,43%,25%,1.3,,"5' 9""",170 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,1,0,0,0,FALSE,FALSE,32,1,28,,54,0,#N/A,8,,,Unknown,Unknown,0,#N/A,2,
3/5/1999,"Bay St. Louis, Mississippi, USA",Pete Williams,Jason Godsey,win,SUB,Kneebar,1,1:56,0,3,1,1,0,2,0,0,Heavyweight,,"6' 3""",235 lbs.,--,Orthodox,7/10/1975,0.61,62%,2.77,40%,1.84,40%,16%,0.9,,"6' 2""",230 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,1,1,0,0,FALSE,FALSE,12,16,23,,49,0,#N/A,6,,,Unknown,Unknown,0,#N/A,16,
3/5/1999,"Bay St. Louis, Mississippi, USA",Sione Latu,Joey Roberts,win,KO/TKO,,1,10:01,0,9,1,0,0,17,1,2,Heavyweight,,"6' 0""",215 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,,"6' 2""",200 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,FALSE,FALSE,1,4,Unknown,,Unknown,0,#N/A,0,,,Unknown,Unknown,0,#N/A,3,
